20:12:23.376 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
20:12:23.377 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Starting PdtSalesApplication using Java 17.0.8 on Starlight with PID 13607 (/root/NTU_PDT_SALES_API/pdt_sales/target/classes started by root in /root/NTU_PDT_SALES_API/pdt_sales)
20:12:23.379 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - No active profile set, falling back to 1 default profile: "default"
20:12:23.432 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20:12:23.432 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20:12:24.084 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:12:24.133 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 2 JPA repository interfaces.
20:12:24.692 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20:12:24.698 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:12:24.700 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20:12:24.701 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
20:12:24.752 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:12:24.752 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1319 ms
20:12:24.864 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:12:24.898 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
20:12:25.007 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:12:25.086 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:12:25.294 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:12:25.307 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
20:12:26.174 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:12:26.191 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:13:50.602 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4c795791, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e19246c, org.springframework.security.web.context.SecurityContextPersistenceFilter@4b466547, org.springframework.security.web.header.HeaderWriterFilter@89c5824, org.springframework.security.web.authentication.logout.LogoutFilter@1e6e7168, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3110684a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34e63876, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5dc93fa7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ffc5e99, org.springframework.security.web.session.SessionManagementFilter@750b3faf, org.springframework.security.web.access.ExceptionTranslationFilter@56cec11a, org.springframework.security.web.access.intercept.AuthorizationFilter@50654c58]
20:13:50.656 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:13:51.024 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
20:13:51.037 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:13:51.053 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:13:51.067 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Started PdtSalesApplication in 88.024 seconds (JVM running for 89.006)
20:15:28.437 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:15:28.437 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:15:28.439 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
20:15:57.234 [http-nio-8080-exec-4] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all product records
20:16:14.423 [http-nio-8080-exec-5] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all product records
20:16:38.510 [http-nio-8080-exec-7] INFO  c.p.p.R.LoggingFilter - Request Method: DELETE; Resource: productID:111
20:16:53.571 [http-nio-8080-exec-8] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: all product records
20:17:12.631 [http-nio-8080-exec-9] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: all sales records
20:17:48.338 [http-nio-8080-exec-10] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: all product records
20:18:48.004 [http-nio-8080-exec-2] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:29482
20:18:48.032 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.pdt_sales.pdt_sales.exception.SalesNotFoundException: Could not find sales record 29482]
20:19:12.259 [http-nio-8080-exec-3] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:4
20:19:41.204 [http-nio-8080-exec-4] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:4
20:19:54.303 [http-nio-8080-exec-5] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:7
20:20:04.348 [http-nio-8080-exec-6] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: all product records
20:20:17.706 [http-nio-8080-exec-7] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: all sales records
20:21:04.869 [http-nio-8080-exec-1] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:7
20:21:19.426 [http-nio-8080-exec-2] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: productID:111
20:21:19.430 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.pdt_sales.pdt_sales.exception.ProductNotFoundException: Could not find product 111]
20:22:23.461 [http-nio-8080-exec-5] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:111111111
20:22:23.464 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.pdt_sales.pdt_sales.exception.SalesNotFoundException: Could not find sales record 111111111]
20:22:29.653 [http-nio-8080-exec-6] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:201
20:22:38.023 [http-nio-8080-exec-7] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all product records
20:25:28.966 [http-nio-8080-exec-10] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all sales records
20:26:04.299 [http-nio-8080-exec-1] INFO  c.p.p.R.LoggingFilter - Request Method: PUT; Resource: productID:111
20:29:10.395 [http-nio-8080-exec-4] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all sales records
20:29:14.033 [http-nio-8080-exec-5] INFO  c.p.p.R.LoggingFilter - Request Method: PUT; Resource: productID:111
20:29:50.640 [http-nio-8080-exec-6] INFO  c.p.p.R.LoggingFilter - Request Method: PUT; Resource: salesID:29483
20:34:24.358 [http-nio-8080-exec-8] INFO  c.p.p.R.LoggingFilter - Request Method: DELETE; Resource: productID:111
20:34:56.873 [http-nio-8080-exec-10] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: salesID:29483
20:35:09.818 [http-nio-8080-exec-1] INFO  c.p.p.R.LoggingFilter - Request Method: DELETE; Resource: salesID:29483
20:35:29.261 [http-nio-8080-exec-2] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: productID:214
20:36:42.917 [http-nio-8080-exec-5] INFO  c.p.p.R.LoggingFilter - Request Method: PUT; Resource: productID:214
20:36:42.920 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('}' (code 125)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('}' (code 125)): was expecting double-quote to start field name<EOL> at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 11, column: 2]]
20:36:47.926 [http-nio-8080-exec-6] INFO  c.p.p.R.LoggingFilter - Request Method: PUT; Resource: productID:214
20:36:56.521 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20:36:56.524 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
20:36:56.534 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
20:37:56.303 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
20:37:56.320 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Starting PdtSalesApplication using Java 17.0.8 on Starlight with PID 28711 (/root/NTU_PDT_SALES_API/pdt_sales/target/classes started by root in /root/NTU_PDT_SALES_API/pdt_sales)
20:37:56.321 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - No active profile set, falling back to 1 default profile: "default"
20:37:56.460 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
20:37:56.461 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
20:37:57.682 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20:37:57.830 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 120 ms. Found 2 JPA repository interfaces.
20:37:58.763 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
20:37:58.772 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:37:58.776 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20:37:58.776 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
20:37:58.867 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:37:58.867 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2406 ms
20:37:59.156 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20:37:59.217 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
20:37:59.449 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
20:37:59.632 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:38:00.027 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:38:00.050 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
20:38:01.186 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20:38:01.196 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:39:31.912 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@123d8bb0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a7fb4dc, org.springframework.security.web.context.SecurityContextPersistenceFilter@5a9e35f1, org.springframework.security.web.header.HeaderWriterFilter@72230105, org.springframework.security.web.authentication.logout.LogoutFilter@3f53288e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3141276c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@10a4003, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c14ee2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2c0ae2c5, org.springframework.security.web.session.SessionManagementFilter@4e8815b1, org.springframework.security.web.access.ExceptionTranslationFilter@1e4c3a52, org.springframework.security.web.access.intercept.AuthorizationFilter@4e6693e0]
20:39:31.977 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:39:32.608 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
20:39:32.623 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:39:32.637 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:39:32.648 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Started PdtSalesApplication in 97.001 seconds (JVM running for 98.296)
20:39:37.572 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:39:37.572 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
20:39:37.573 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
20:39:37.589 [http-nio-8080-exec-2] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: productID:214
20:40:26.835 [http-nio-8080-exec-3] INFO  c.p.p.R.LoggingFilter - Request Method: GET; Resource: productID:214
20:42:18.106 [http-nio-8080-exec-6] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all sales records
20:46:50.751 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
20:46:50.755 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
20:46:50.755 [Thread-5] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
20:46:50.756 [Thread-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
20:46:50.760 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
20:46:50.762 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
20:46:50.765 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20:46:50.767 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
20:46:50.778 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-09-2020:46:50.865 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Starting PdtSalesApplication using Java 17.0.8 on Starlight with PID 28711 (/root/NTU_PDT_SALES_API/pdt_sales/target/classes started by root in /root/NTU_PDT_SALES_API/pdt_sales)
2023-09-2020:46:50.865 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - No active profile set, falling back to 1 default profile: "default"
