ProductKey,OrderDate,OrderNumber,CustomerKey,OrderQuantity
229,2022-01-01,SO61269,11792,1
215,2022-01-01,SO61269,11792,1
485,2022-01-01,SO61270,18259,2
538,2022-01-01,SO61271,20454,2
480,2022-01-01,SO61271,20454,1
528,2022-01-01,SO61272,21239,2
480,2022-01-01,SO61272,21239,2
475,2022-01-01,SO61274,27148,1
223,2022-01-01,SO61274,27148,3
220,2022-01-01,SO61275,13996,1
488,2022-01-01,SO61276,17252,1
223,2022-01-01,SO61276,17252,3
594,2022-01-01,SO61277,15050,1
490,2022-01-01,SO61277,15050,1
223,2022-01-01,SO61277,15050,2
580,2022-01-01,SO61278,22308,1
488,2022-01-01,SO61278,22308,1
479,2022-01-01,SO61278,22308,1
477,2022-01-01,SO61278,22308,2
485,2022-01-01,SO61279,12859,2
362,2022-01-01,SO61279,12859,1
214,2022-01-01,SO61280,11891,1
480,2022-01-01,SO61282,11306,1
538,2022-01-01,SO61283,26273,2
529,2022-01-01,SO61283,26273,2
220,2022-01-01,SO61283,26273,1
538,2022-01-01,SO61284,27477,2
480,2022-01-01,SO61284,27477,2
540,2022-01-01,SO61285,23791,1
529,2022-01-01,SO61285,23791,2
214,2022-01-01,SO61285,23791,1
536,2022-01-01,SO61286,11530,2
528,2022-01-01,SO61286,11530,2
489,2022-01-01,SO61287,15760,1
478,2022-01-01,SO61287,15760,2
477,2022-01-01,SO61287,15760,2
536,2022-01-01,SO61288,19709,2
528,2022-01-01,SO61288,19709,2
220,2022-01-01,SO61288,19709,1
536,2022-01-01,SO61289,23694,2
528,2022-01-01,SO61289,23694,2
215,2022-01-01,SO61289,23694,1
478,2022-01-01,SO61290,23011,2
477,2022-01-01,SO61290,23011,1
478,2022-01-01,SO61292,22012,2
477,2022-01-01,SO61292,22012,2
477,2022-01-01,SO61293,18083,2
232,2022-01-01,SO61293,18083,1
220,2022-01-01,SO61293,18083,1
484,2022-01-01,SO61294,17396,2
477,2022-01-01,SO61294,17396,2
528,2022-01-01,SO61295,14751,2
480,2022-01-01,SO61295,14751,2
485,2022-01-01,SO61296,14996,2
541,2022-01-01,SO61297,12627,3
530,2022-01-01,SO61297,12627,2
489,2022-01-01,SO61297,12627,1
479,2022-01-01,SO61297,12627,2
477,2022-01-01,SO61297,12627,2
530,2022-01-01,SO61298,18155,2
223,2022-01-01,SO61298,18155,1
214,2022-01-01,SO61298,18155,1
537,2022-01-01,SO61299,12411,1
528,2022-01-01,SO61299,12411,2
485,2022-01-01,SO61300,13164,2
478,2022-01-01,SO61300,13164,2
477,2022-01-01,SO61300,13164,2
471,2022-01-01,SO61300,13164,1
540,2022-01-01,SO61301,16747,1
529,2022-01-01,SO61301,16747,2
377,2022-01-01,SO61301,16747,1
478,2022-01-01,SO61302,14486,2
477,2022-01-01,SO61302,14486,2
362,2022-01-01,SO61302,14486,1
583,2022-01-01,SO61305,20236,1
580,2022-01-01,SO61306,23431,1
479,2022-01-01,SO61306,23431,2
477,2022-01-01,SO61306,23431,2
582,2022-01-01,SO61307,20260,1
215,2022-01-01,SO61307,20260,1
479,2022-01-01,SO61308,20246,2
477,2022-01-01,SO61308,20246,2
371,2022-01-01,SO61308,20246,1
483,2022-01-01,SO61309,13625,1
354,2022-01-01,SO61309,13625,1
584,2022-01-01,SO61310,13541,1
538,2022-01-01,SO61310,13541,2
606,2022-01-01,SO61311,22466,1
479,2022-01-01,SO61311,22466,2
566,2022-01-01,SO61312,29082,1
477,2022-01-01,SO61273,23430,2
477,2022-01-01,SO61304,12473,2
479,2022-01-01,SO61304,12473,2
214,2022-01-01,SO61304,12473,1
560,2022-01-01,SO61304,12473,1
539,2022-01-01,SO61281,28808,3
220,2022-01-01,SO61303,13602,1
563,2022-01-01,SO61303,13602,1
477,2022-01-02,SO61367,11099,2
583,2022-01-02,SO61313,11427,1
223,2022-01-02,SO61313,11427,3
220,2022-01-02,SO61313,11427,1
483,2022-01-02,SO61314,11211,1
539,2022-01-02,SO61315,15146,1
529,2022-01-02,SO61315,15146,2
490,2022-01-02,SO61315,15146,1
223,2022-01-02,SO61315,15146,2
220,2022-01-02,SO61315,15146,1
536,2022-01-02,SO61316,21187,3
480,2022-01-02,SO61316,21187,1
485,2022-01-02,SO61317,17355,2
485,2022-01-02,SO61318,18492,2
215,2022-01-02,SO61318,18492,1
538,2022-01-02,SO61319,20262,2
529,2022-01-02,SO61319,20262,3
480,2022-01-02,SO61319,20262,2
478,2022-01-02,SO61320,28943,2
477,2022-01-02,SO61320,28943,2
214,2022-01-02,SO61320,28943,1
466,2022-01-02,SO61321,14319,3
235,2022-01-02,SO61321,14319,1
483,2022-01-02,SO61322,12371,1
480,2022-01-02,SO61322,12371,3
580,2022-01-02,SO61323,17848,1
220,2022-01-02,SO61323,17848,1
580,2022-01-02,SO61324,25445,1
220,2022-01-02,SO61324,25445,1
583,2022-01-02,SO61325,21683,1
488,2022-01-02,SO61325,21683,1
466,2022-01-02,SO61325,21683,3
484,2022-01-02,SO61326,16422,3
377,2022-01-02,SO61326,16422,1
358,2022-01-02,SO61327,15684,1
223,2022-01-02,SO61327,15684,2
214,2022-01-02,SO61327,15684,1
490,2022-01-02,SO61328,11684,1
541,2022-01-02,SO61329,27065,3
530,2022-01-02,SO61329,27065,2
214,2022-01-02,SO61329,27065,1
540,2022-01-02,SO61330,24394,1
529,2022-01-02,SO61330,24394,2
540,2022-01-02,SO61331,11262,1
529,2022-01-02,SO61331,11262,2
480,2022-01-02,SO61331,11262,2
535,2022-01-02,SO61332,25967,2
528,2022-01-02,SO61332,25967,2
536,2022-01-02,SO61333,11091,2
528,2022-01-02,SO61333,11091,1
536,2022-01-02,SO61334,22239,2
480,2022-01-02,SO61334,22239,2
476,2022-01-02,SO61335,19864,1
482,2022-01-02,SO61336,19876,2
474,2022-01-02,SO61336,19876,1
528,2022-01-02,SO61338,16720,2
215,2022-01-02,SO61338,16720,1
485,2022-01-02,SO61339,14409,2
472,2022-01-02,SO61339,14409,1
485,2022-01-02,SO61340,13737,3
480,2022-01-02,SO61340,13737,2
478,2022-01-02,SO61340,13737,3
477,2022-01-02,SO61340,13737,2
485,2022-01-02,SO61341,16300,2
229,2022-01-02,SO61341,16300,1
537,2022-01-02,SO61342,12497,1
528,2022-01-02,SO61342,12497,3
480,2022-01-02,SO61342,12497,2
477,2022-01-02,SO61343,22672,1
464,2022-01-02,SO61343,22672,2
536,2022-01-02,SO61344,17816,2
528,2022-01-02,SO61344,17816,2
480,2022-01-02,SO61344,17816,1
536,2022-01-02,SO61345,20135,1
528,2022-01-02,SO61345,20135,3
214,2022-01-02,SO61345,20135,1
477,2022-01-02,SO61346,16293,2
490,2022-01-02,SO61347,21816,1
477,2022-01-02,SO61347,21816,1
462,2022-01-02,SO61347,21816,2
541,2022-01-02,SO61348,23919,2
530,2022-01-02,SO61348,23919,3
462,2022-01-02,SO61348,23919,2
541,2022-01-02,SO61349,12563,3
530,2022-01-02,SO61349,12563,1
215,2022-01-02,SO61349,12563,1
537,2022-01-02,SO61350,11280,1
528,2022-01-02,SO61350,11280,1
214,2022-01-02,SO61350,11280,1
537,2022-01-02,SO61351,11201,1
485,2022-01-02,SO61351,11201,2
214,2022-01-02,SO61351,11201,1
537,2022-01-02,SO61352,12135,1
485,2022-01-02,SO61353,16717,2
471,2022-01-02,SO61353,16717,1
214,2022-01-02,SO61353,16717,1
223,2022-01-02,SO61354,12611,2
226,2022-01-02,SO61355,12563,1
590,2022-01-02,SO61356,14580,1
587,2022-01-02,SO61357,14581,1
536,2022-01-02,SO61357,14581,3
528,2022-01-02,SO61357,14581,2
462,2022-01-02,SO61357,14581,2
215,2022-01-02,SO61357,14581,1
485,2022-01-02,SO61358,14456,2
472,2022-01-02,SO61358,14456,1
354,2022-01-02,SO61358,14456,1
354,2022-01-02,SO61359,14420,1
537,2022-01-02,SO61360,12041,1
528,2022-01-02,SO61360,12041,2
358,2022-01-02,SO61360,12041,1
235,2022-01-02,SO61360,12041,1
220,2022-01-02,SO61360,12041,1
480,2022-01-02,SO61362,13648,2
358,2022-01-02,SO61362,13648,1
570,2022-01-02,SO61363,29201,1
479,2022-01-02,SO61363,29201,2
477,2022-01-02,SO61363,29201,2
562,2022-01-02,SO61364,24684,1
223,2022-01-02,SO61364,24684,2
582,2022-01-02,SO61365,20683,1
214,2022-01-02,SO61365,20683,1
564,2022-01-02,SO61366,14185,1
487,2022-01-02,SO61366,14185,1
479,2022-01-02,SO61366,14185,2
477,2022-01-02,SO61366,14185,2
575,2022-01-02,SO61367,11099,1
489,2022-01-02,SO61367,11099,1
479,2022-01-02,SO61367,11099,1
576,2022-01-02,SO61368,11904,1
220,2022-01-02,SO61368,11904,1
565,2022-01-02,SO61369,29084,1
561,2022-01-02,SO61370,11464,1
214,2022-01-02,SO61370,11464,1
606,2022-01-02,SO61371,27515,1
484,2022-01-03,SO61372,12139,2
478,2022-01-03,SO61373,11122,2
215,2022-01-03,SO61374,13046,1
215,2022-01-03,SO61375,13150,1
484,2022-01-03,SO61376,13613,2
223,2022-01-03,SO61377,18199,2
223,2022-01-03,SO61378,18270,2
540,2022-01-03,SO61379,16436,1
529,2022-01-03,SO61379,16436,3
377,2022-01-03,SO61379,16436,1
220,2022-01-03,SO61379,16436,1
537,2022-01-03,SO61380,15927,1
480,2022-01-03,SO61380,15927,2
362,2022-01-03,SO61380,15927,1
537,2022-01-03,SO61381,12623,1
362,2022-01-03,SO61381,12623,1
485,2022-01-03,SO61382,15697,2
478,2022-01-03,SO61382,15697,2
477,2022-01-03,SO61382,15697,2
362,2022-01-03,SO61382,15697,1
487,2022-01-03,SO61383,14429,1
485,2022-01-03,SO61383,14429,3
356,2022-01-03,SO61383,14429,1
529,2022-01-03,SO61384,11086,3
232,2022-01-03,SO61384,11086,1
484,2022-01-03,SO61385,11262,2
480,2022-01-03,SO61385,11262,2
541,2022-01-03,SO61386,27609,2
530,2022-01-03,SO61386,27609,2
480,2022-01-03,SO61386,27609,2
530,2022-01-03,SO61387,28253,3
223,2022-01-03,SO61387,28253,1
535,2022-01-03,SO61388,14265,3
480,2022-01-03,SO61388,14265,1
540,2022-01-03,SO61389,25194,1
541,2022-01-03,SO61390,27458,2
530,2022-01-03,SO61390,27458,1
220,2022-01-03,SO61390,27458,1
541,2022-01-03,SO61391,16497,2
530,2022-01-03,SO61391,16497,2
535,2022-01-03,SO61392,26687,2
540,2022-01-03,SO61393,16085,1
529,2022-01-03,SO61393,16085,3
214,2022-01-03,SO61393,16085,1
478,2022-01-03,SO61394,16948,2
464,2022-01-03,SO61394,16948,3
229,2022-01-03,SO61394,16948,1
215,2022-01-03,SO61394,16948,1
487,2022-01-03,SO61395,17699,1
484,2022-01-03,SO61395,17699,2
477,2022-01-03,SO61395,17699,2
477,2022-01-03,SO61396,25328,2
235,2022-01-03,SO61396,25328,1
220,2022-01-03,SO61396,25328,1
477,2022-01-03,SO61397,25002,2
528,2022-01-03,SO61398,23368,1
528,2022-01-03,SO61399,15939,2
215,2022-01-03,SO61399,15939,1
528,2022-01-03,SO61400,14375,2
215,2022-01-03,SO61400,14375,1
485,2022-01-03,SO61401,20740,2
226,2022-01-03,SO61401,20740,1
223,2022-01-03,SO61401,20740,2
485,2022-01-03,SO61402,14254,2
466,2022-01-03,SO61402,14254,3
220,2022-01-03,SO61402,14254,1
528,2022-01-03,SO61403,14942,2
485,2022-01-03,SO61404,16314,3
232,2022-01-03,SO61404,16314,1
535,2022-01-03,SO61405,16943,2
528,2022-01-03,SO61405,16943,2
484,2022-01-03,SO61405,16943,2
536,2022-01-03,SO61406,21522,2
528,2022-01-03,SO61406,21522,2
488,2022-01-03,SO61406,21522,1
215,2022-01-03,SO61406,21522,1
529,2022-01-03,SO61407,20974,3
483,2022-01-03,SO61407,20974,1
480,2022-01-03,SO61407,20974,2
529,2022-01-03,SO61408,26915,2
487,2022-01-03,SO61408,26915,1
537,2022-01-03,SO61409,15155,1
528,2022-01-03,SO61409,15155,3
